stone,physical_description
ocean jasper,"Ocean Jasper is a type of orbicular jasper found in Madagascar, where it is harvested during low tide along the ocean. It is characterized by spherical inclusions and is generally white, green, and peach-colored.
"
onyx,"Onyx is a form of quartz that can come in almost any color. The pure black form is the most famous, especially for beads. Outside of beading, the most common form has the appearance of parallel lines running through the stone in alternating bands. Sardonyx is a banded variety of onyx with shades of red and brown. Much of what is sold as onyx is actually agate that has been stained.
"
pearls,"A mineral object produced within a living shelled mollusk. Pearls are composed of calcium carbonate (aragonite and calcite) deposited in concentric layers. Classic pearls are perfectly round. Baroque pearls refer to all the other irregular shaped pearls. Most pearls are cultured or farmed as natural pearls are extremely rare. Pearls are iridescent and classically white, but also come in other colors like pink, brown, and black.
Cultured pearls are not made of pearl material all the way through–they are formed by a non-pearl base which has a thin layer of pearl around it.
"
peridot,"A yellowish green gemstone, composed of silica, magnesia, and iron. Common in certain volcanic rocks. It ranges in color from olive to lime green. It has been mined in Egypt for thousands of years. It can also be found in Pakistan, Burma, South Africa, and Brazil.
"
petrified wood,"Petrified wood forms when a tree or tree-like plant becomes fossilized and all of the matter in the tree is replaced by minerals. The minerals (usually quartz) replace the organic tissue so slowly that the original form is retained, allowing you to see the plant’s organic structures down to the microscopic level.
Petrification can only happen under specific circumstances. The plant has to be buried in such a way that no oxygen is present so rotting cannot occur, and there is mineral-rich water present that can bring the minerals to replace the organic tissue.
Petrified wood can be found at sites all over the world, often in large swaths of petrified forests that all got buried at the same time under ideal conditions.
"
picture jasper,"Picture jasper is a type of jasper that forms from mud that drips into gas pockets in molten lava. The resulting pattern resembles a picture or landscape.
"
pietersite,"Pietersite is a mottled brown, gray, blue, and gold form of quartz. It contains Tiger Eye (another form of quartz), which gives it the chatoyancy effect. It is only found in China and Namibia.
 
"
pink calcite,"Pink calcite is colored by manganese, and is sometimes called mangano calcite. Calcite is a soft mineral made of calcium carbonate.
"
pink tourmaline,"Tourmaline is a silicate mineral that comes in several colors such as pink, green, black, red, and blue. It’s hardness is a 7 on the Mohs scale, and is fairly rare in most colors. Black tourmaline is the most abundant color. It grows in columnar formations which give it a striped or striated appearance.
"
prehnite,"Prehnite is usually a soft yellow-green color, sometimes with white or clear mixed in. It is a silicate mineral containing calcium and aluminum, with an orthorhombic crystal structure. It is a 6-6.5 on the Mohs scale of hardness. Learn more about the mineral properties of Prehnite on Wikipedia.
"
pyrite,"Pyrite is an iron sulfide also known as “fool’s gold” due to its superficial resemblance to gold and it being much more common. The name pyrite comes from the greek word for fire, because you can produce a spark when hitting two pieces of pyrite together, or striking it against steel. Pyrite is used in industry to produce sulfur dioxide and sulfuric acid. It is also sometimes used as a component in lithium batteries. Historically it has been used in radios and inside early firearms, and in ancient times it was polished to use as a mirror. It is also sometimes found as a replacement mineral in fossils. It forms into various crystal shapes, including strikingly large cubes. It is found all over the world, but larger and more prized specimens have been found in Bolivia, Spain, Italy, and Germany.
Pyrite was used in marcasite jewelry, as it is similar to marcasite but more durable. Marcasite jewelry consists of small pieces of pyrite set into silver, and has been made since ancient Greece. It enjoyed a period of popularity in the Victorian era, and today’s marcasite jewelry tends to replicate these designs for a “vintage” look.
Pyrite can be used alone in jewelry, but it can also be found as inclusions inside other gemstones such as lapis lazuli.
"
rainbow moonstone,"Rainbow moonstone is a shimmery white type of moonstone, and often contains black flecks.
"
rainbow obsidian,"A type of black obsidian that, when polished and exposed to bright light, reveals iridescent layers caused by nanoparticle inclusions of the mineral pyroxene.
photo credit
"
rainforest jasper,"Rainforest Jasper is a rhyolite (volcanic rock) with a green-brown background mottled with other colors such as yellow, brown, and peach. Calling it jasper is misleading, because jaspers are sedimentary rocks, not igneous (volcanic), and rainforest jasper seems to be named jasper purely due to visual similarities with other jaspers. Compositionally, it is more similar to granite than chalcedony. In the jewelry industry, you will see the same rock referred to as “rainforest jasper” and “rainforest rhyolite”.
"
rhodochrosite,"Rhodochrosite is a soft mineral sometimes confused with rhodonite. It is made up of manganese carbonate. In its pure form, it is a vibrant bright pink color. Often times, calcium and other minerals find there way into the mix, the end result being a beautiful light pink color with white banding. Occasionally you will also find brown and white rhodochrosite.
Rhodochrosite is a soft stone, only a 3.5-4 on the Mohs Scale of Hardness. Rhodochrosite is very rarely faceted, most often it is cut in a cabochon style to set into jewelry. The word rhodochrosite is derived from Greek and means rose-colored. Rhodochrosite is the state mineral of Colorado and is often found in silver mines. Until people started actively looking for good quality rhodochrosite specimens, they were routinely discarded in mine dump piles.
Rhodochrosite is found in Argentina, Peru, Romania, Poland, Canada, and the United States.
Rhodochrosite is usually found with white banding throughout, sometimes with other colors as well. Rhodonite, on the other hand, is found in more of a flat color, sometimes with black inclusions.
"
rhodonite,"Rhodonite is a manganese inosilicate mineral. It is rose-red to brownish-red, frequently with inclusions of black manganese oxide that can give it a mottled appearance.
"
rose quartz,"A pink variety of quartz, that ranges from very pale pink to deep reddish pink, and from opaque to transparent. It is readily available and inexpensive.
"
ruby,"A fiery red gemstone that comes from the corundum mineral (sapphires come from the same mineral). Corundum is considered one of the hardest minerals on earth and the ruby is prized for its hardness, durability, luster, and rarity. Deemed one of the most valuable gemstones on earth, large, transparent rubies are even more valuable than diamonds.
"
ruby zoisite,"Ruby Zoisite is green zoisite with ruby inclusions. These two gemstones occur together enough that they are referred to as their own type of crystal, sometimes called anyolite.
Zoisite is a calcium aluminum silicate mineral in the epidote group, first discovered in 1805. It can be found in many other colors besides green, like white, brown, blue, purple, clear, pink, and yellow. Blue zoisite is known as Tanzanite.
"
rutilated quartz,"Rutilated Quartz is clear quartz or smoky quartz with hair-like inclusions of the mineral rutile. The hairs are usually golden colored, but can also be silver, copper, or black. It is sometimes referred to as “Venus hair”.
It is sometimes confused with tourmalinated quartz, which is clear or milky quartz with tourmaline inclusions. They looks similar except in tourmalinated quartz, the hairs are usually black (or sometimes dark green).
"
sapphire,"Sapphire is a variety of corundum, a very hard mineral that sits at 9 on the Mohs scale of hardness.
While most commonly thought of as blue, sapphires actually come in a range of colors, like violet, pink, white, green, yellow, and black. Red corundum is called ruby.
"
scolecite,"Scolecite is a calcium silicate mineral in the zeolite group. It is most commonly found in Iceland and India and can range from almost colorless to creamy white or yellow. Its striated prismatic crystal clusters give it a silky and smooth appearance.
"
selenite,"Selenite is a form of gypsum, a soft mineral with a hardness of 2 on the Mohs scale. Its chemical composition is calcium sulfate dihydrate and it can form into huge crystals many feet across. It is related to alabaster and desert rose, but not to selenium. It’s name derives from the Greek name for the moon. It has a striated appearance (consisting of parallel lines) and a silky sheen. Selenite is usually transparent, colorless, or white, although can sometimes have a light coloring from the presence of other minerals.
Selenite can begin to dissolve in water, so it is important to never get it wet.
Because selenite is so soft and can dissolve in water, it’s not usually made into jewelry except for serious crystal fans. If you do wear it as jewelry, be careful to not expose it to the elements, and perhaps only wear it for a short period of time such as in a ritual.
"
seraphinite,"Seraphinite is a dark green to gray gem form of chinochlore, which is in the chlorite group of minerals. It was discovered in Siberia, Russia in the 1800s and is only found there. It is a soft stone, around a mineral hardness of 2-4 on the Mohs scale, so care should be taken with jewelry and Seraphinite stones when storing them with much harder crystals.
Seraphinite is named after the Seraphim, the highest order of angels due to the stone containing feather-like chatoyant silver fibers that shimmer like angel wings.
"
serpentine,"Serpentine technically refers to a group of related minerals that often occur together in the same rock. Rocks composed of one or more types of serpentine are called serpentinite. However for gemstone purposes this distinction is generally ignored and rocks containing serpentine are just called serpentine regardless of their composition.
One member of the serpentine group, chrysotile, forms into asbestos, a fibrous formation that can occur in several different minerals. Asbestos has many industrial applications but is also carcinogenic. However, it is only dangerous in microscopic powder form when that powder becomes airborne and is inhaled. As long as it is safely sealed inside a rock, is poses no danger. (It should also be noted that silica, which is present in many gemstones, causes silicosis when inhaled in dust form–if you are grinding or drilling gemstones, be sure to understand the safety concerns).
Serpentine ranges in color from pale yellowish green through various shades of green to almost black, often with a mottled or scaly appearance. It is soft in terms of gemstones, around 2.5-4 on the Mohs scale. It It is usually opaque although it can sometimes be translucent.
Serpentine is found in many places around the world. It is sometimes passed for jade and has been called “false jade”.
"
shungite,"Shungite is a lustrous black rock consisting almost entirely of carbon, with a number of other minerals distributed throughout. Its origin appears to be biological, like coal or oil. It has also been found to contain fullerenes, very interesting carbon structures with unique properties that were named after Buckminster Fuller (also called buckyballs). However, it should be noted that  these only occur in very trace amounts in shungite.
Shungite has been found to have antibacterial properties useful in purifying water, and is being studied for potential medical applications. However, this may be due to its carbon content rather than particular aspects of shungite–carbon is commonly used in water filters already.
"
smoky quartz,"A brownish-gray variety of quartz that ranges from transparent to almost opaque. Smoky quartz can be created artificially by irradiating clear quartz.
"
snowflake obsidian,"Snowflake obsidian is a form of black obsidian that contains small white crystal impurities made of crystobalite. The end result is a beautiful black color with distinctive grayish white patterns throughout the surface.
Obsidian is a natural glass which is formed through volcanic activity by the cooling of molten lava. Snowflake obsidian forms when the mineral cristobalite is present and gets trapped in the obsidian as it cools. Cristobalite is a silica, similar to quartz but with a different crystal structure. As obsidian is a glass and cristobalite is a crystal, snowflake obsidian is essentially a lot of tiny crystals trapped in black glass rock.
"
sodalite,"Sodalite is a royal blue silicate mineral with white streaks of calcite.
"
spinel,"Spinel is a fairly hard mineral composed of magnesium aluminum oxide. It comes in many shades from transparent (colorless) to shades of pink, red, blue, yellow, green, black, and brown. It is sometimes mistaken for other precious stones, particularly ruby. It is also sometimes artificially created for industrial use.
"
sugilite,"Sugilite is a rare pinkish-purple silicate mineral first found in Japan in 1944. It has since been found in various areas around the world, but most of the pieces you find on the market are mined in South Africa.
"
sunstone,"Sunstone is an orange to reddish-brown variety of feldspar with sparkling metallic inclusions. This sparkle effect is sometimes called aventurescence and is also exhibited by aventurine and the manufactured glass called goldstone. Consequently, sunstone is sometimes called, “aventurine feldspar”. 
In the case of sunstone, the metallic inclusions are usually copper, but can also be hematite or the mineral goethite. It is the flatness of the inclusions that give the appearance of glitter, but that also means the cut of the stone matters in how much light gets reflected off of the metal platelets. Sunstone is transparent to translucent and sits at a 6 on the Mohs hardness scale.
"
tanzanite,"Tanzanite was named after Tanzania where it was first discovered, but it is also referred to as blue zoisite. It is primarily found in blue or blue-violet although it can also be found in golden-brown (which turns blue when heated).
"
tiger eye,"A golden-brown banded variety of quartz that exhibits chatoyancy, or the “cat’s eye effect”–a luminous streak that moves as you rotate the stone. Faceting tiger eye can sometimes dull this effect, so usually it is worn as round beads or cabochons.
"
tiger iron,"Tiger iron is an aggregate stone containing bands of tiger eye, red jasper, and hematite. The combination is golden brown, dark red, and bluish-gray. The look of each piece depends on the relative quantities of each. Tiger iron is sometimes called “mugglestone”, but there is no relation to the Harry Potter books. It was named after Mucklestone in England, where it was first found.
Tiger eye and jasper are both forms of quartz.
"
topaz,"Topaz is a hard stone, an eight on the Mohs Scale of Hardness. It can be found in many colors, including red, orange, peach, pink, gold, yellow, blue, brown, green, white, and clear. There are many techniques used to alter the color of topaz as well (more on this below). Most commercial topaz comes from Brazil, but it is also found in Sri Lanka, India, Russia, U.S., Canada, Mexico, Italy, Japan, and many other places around the world.
Topaz is associated with the astrological sign Sagittarius, and is the birthstones for November (yellow topaz and citrine). Blue topaz is a birthstone for December, and pure topaz (clear/white) is often used in place of diamond, the birthstones for April.
Topaz is also the anniversary stone for the fourth, nineteenth, and twenty third years of marriage. The word topaz means fire in Sanskrit. Because of its hardness, topaz is usually faceted before setting it into jewelry.
Topaz is a stone that is often altered, creating colors not found naturally, or enhancing natural colors to be more vibrant. For example, blue topaz is often irradiated to enhance the color. Topaz is also exposed to titanium vapors, creating mystic topaz. These techniques, and others, have allowed for a whole new generation of topaz stones to emerge, and have allowed mainstream customers to purchase these beautiful stones.
"
tourmaline,"Tourmaline is a silicate mineral with a hardness of 7 on the Moh’s scale. It is found all over the world and comes in a variety of colors including shades of red, pink, yellow, black, green, and blue. Although it can be found many places, fine specimens useful for jewelry are still considered rare and valuable. It occurs naturally in columnar formations that are often triangular in cross-section.
"
watermelon tourmaline,"Watermelon tourmaline is named for its coloring–some pieces have a pink center surrounded by green, like a watermelon, while others just have pink and green together in the same stone. They are a combination of pink tourmaline and green tourmaline, and are found wherever both are present.
"
unakite,"Unakite is a pink and green form of jasper.
"
yellow sapphire,"Yellow sapphire is the yellow variety of sapphire, a very hard stone consisting of the mineral corundum. Sapphires are most commonly a brilliant blue color, but they also come in violent, pink, white, green, yellow, and black. Ruby is also a variety of corundum. At a 9 on the Moh’s scale, sapphire makes an excellent stone for jewelry, being strong, durable, and very hard to scratch. In fact, if you have sapphire jewelry it is best to store it wrapped so it doesn’t scratch your other jewelry or gems.
"
zircon,"Zircon is usually brownish yellow or red when found naturally, and is heat-treated to get blue, red, yellow, or clear stones.
Blue zircon is one of the birthstones for December, along with tanzanite and turquoise.
"
